"","Model","AUC","Accuracy"
"1","KNN",0.974572012148607,92.95
"2","Logistic Regression (PCA)",0.962171997246627,90.375
"3","Logistic Regression",0.983244034023483,94.5
"4","Naive Bayes (PCA)",0.876928723823726,71.125
"5","Classification Tree (PCA)",0.92489069179399,87.45
"6","Classification Tree",0.968787872196098,93.85
"7","Random Forest (PCA)",0.986889516138509,93.9
"8","Random Forest",0.998704953730131,98.325
"9","Artificial Neural Net (PCA)",0.972096559770017,93.05
"10","Artificial Neural Net",0.987769257484301,96.275
